Open,High,Low,adjClose,Volume
10980.0,10980.0,10360.0,10510.0,7670958
10500.0,10650.0,10450.0,10540.0,5132629
10410.0,10670.0,10410.0,10580.0,5543276
10640.0,10740.0,10360.0,10570.0,17087351
10400.0,10480.0,10150.0,10290.0,6025027
10490.0,10500.0,10220.0,10320.0,3448801
10230.0,10420.0,10200.0,10330.0,3363405
10420.0,10580.0,10350.0,10480.0,20500463
10600.0,10890.0,10600.0,10810.0,17391835
10810.0,10920.0,10650.0,10820.0,13704396
10630.0,10730.0,10520.0,10600.0,5171452
10770.0,11270.0,10770.0,11020.0,22501341
11220.0,11220.0,10710.0,10900.0,12704125
10800.0,11380.0,10780.0,11230.0,24557132
11300.0,11500.0,11010.0,11310.0,15511413
11230.0,11350.0,11080.0,11220.0,9131036
10980.0,10990.0,10570.0,10780.0,10564736
10690.0,10830.0,10410.0,10570.0,16648926
10540.0,10700.0,10420.0,10530.0,7359054
10490.0,10930.0,10490.0,10750.0,12645510
10980.0,11230.0,10900.0,11080.0,25591122
11200.0,11320.0,11010.0,11170.0,15091561
10780.0,10990.0,10710.0,10820.0,7310742
10800.0,11050.0,10740.0,10950.0,11070400
10900.0,11000.0,10760.0,10840.0,2605653
10860.0,10880.0,10730.0,10790.0,4215932
10500.0,10640.0,10450.0,10500.0,13254346
10580.0,10690.0,10480.0,10550.0,3599289
10580.0,10710.0,10580.0,10650.0,5007046
10600.0,10600.0,10450.0,10490.0,2339455
10530.0,10530.0,10290.0,10390.0,7376439
10330.0,10330.0,10080.0,10190.0,6785548
10220.0,10250.0,10030.0,10130.0,4995456
10100.0,10340.0,10020.0,10170.0,8931595
10290.0,10360.0,10100.0,10260.0,9925284
10260.0,10260.0,10060.0,10130.0,4683172
10060.0,10060.0,9850.0,9940.0,4425574
9980.0,10050.0,9890.0,9960.0,3030689
9980.0,9980.0,9730.0,9800.0,5615120
9830.0,9830.0,9630.0,9730.0,4307666
9600.0,9680.0,9310.0,9400.0,6477911
9310.0,9610.0,9290.0,9480.0,18968463
9540.0,9850.0,9540.0,9730.0,15999285
9600.0,9600.0,9130.0,9320.0,6344436
9200.0,9370.0,9060.0,9200.0,6471953
9220.0,9290.0,9070.0,9170.0,4023335
9160.0,9290.0,9100.0,9180.0,3161257
9260.0,9350.0,9110.0,9250.0,14092050
9080.0,9100.0,8890.0,8950.0,8647218
8990.0,9030.0,8820.0,8940.0,11030590
9050.0,9150.0,9000.0,9040.0,17891237
9120.0,9170.0,9040.0,9090.0,5497825
9090.0,9090.0,8930.0,8980.0,4165819
8920.0,8920.0,8760.0,8810.0,5928035
8840.0,8960.0,8700.0,8850.0,6741698
8980.0,9040.0,8830.0,8910.0,4516854
8850.0,8900.0,8790.0,8830.0,2459863
8910.0,9000.0,8830.0,8920.0,4728120
8860.0,8890.0,8690.0,8740.0,6134583
8760.0,8760.0,8420.0,8530.0,13534028
8500.0,8600.0,8310.0,8430.0,5933843
8250.0,8340.0,7710.0,7910.0,15368655
8000.0,8190.0,7780.0,7990.0,8670006
7920.0,8140.0,7820.0,8060.0,8639600
8140.0,8640.0,8140.0,8430.0,17582462
8550.0,8890.0,8550.0,8720.0,27950412
8690.0,8800.0,8460.0,8630.0,10457489
8920.0,9490.0,8920.0,9320.0,47397978
9530.0,9930.0,9290.0,9660.0,110674370
9710.0,10580.0,9690.0,10120.0,87797320
10590.0,10960.0,10120.0,10550.0,90352267
10250.0,10970.0,10040.0,10600.0,74947396
11000.0,11100.0,10690.0,10860.0,77428333
10710.0,10910.0,10430.0,10640.0,34638781
10540.0,10640.0,10180.0,10380.0,33695989
10420.0,10880.0,10380.0,10580.0,33171295
10550.0,10920.0,10390.0,10690.0,25198472
10550.0,10550.0,10040.0,10280.0,31499585
10650.0,10860.0,10600.0,10730.0,34094594
10780.0,10780.0,10260.0,10510.0,25286818
10260.0,10650.0,10250.0,10500.0,21444645
10600.0,10680.0,10440.0,10570.0,15696098
10540.0,10710.0,10390.0,10540.0,21627606
10400.0,10600.0,10370.0,10500.0,24472174
10610.0,10620.0,10410.0,10490.0,33305748
10510.0,10550.0,10450.0,10510.0,33353628
10560.0,10630.0,10470.0,10560.0,19509663
10490.0,10610.0,10450.0,10530.0,19712137
10530.0,10630.0,10460.0,10530.0,18034903
10510.0,10570.0,10400.0,10480.0,42804998
10450.0,10450.0,10320.0,10390.0,31840336
10380.0,10430.0,10000.0,10160.0,39123278
10000.0,10000.0,9480.0,9620.0,60719678
9620.0,9950.0,9550.0,9790.0,56738176
9950.0,10510.0,9940.0,10340.0,50869554
10600.0,11370.0,10600.0,11180.0,190020841
11410.0,11590.0,11220.0,11420.0,145947592
11320.0,11490.0,11180.0,11350.0,63380538
11650.0,11990.0,11650.0,11840.0,154963630
11770.0,11960.0,11420.0,11690.0,120986925
11550.0,11740.0,11340.0,11550.0,64296209
11600.0,11720.0,11530.0,11620.0,31576561
12000.0,12690.0,12000.0,12310.0,149611074
12990.0,13170.0,12680.0,12840.0,84255045
12800.0,13120.0,12520.0,12930.0,85417587
13680.0,14220.0,13660.0,14090.0,102921137
13190.0,13380.0,12690.0,13010.0,260681288
12850.0,13320.0,12170.0,12770.0,235342822
13140.0,13370.0,13010.0,13210.0,203810495
13190.0,13350.0,12460.0,12900.0,158768175
12510.0,12600.0,12350.0,12490.0,94535425
12850.0,13170.0,12750.0,12940.0,135144074
13600.0,13950.0,13590.0,13760.0,131607480
13700.0,14390.0,13500.0,13920.0,108000909
14600.0,15010.0,14180.0,14550.0,144708002
14200.0,14630.0,13610.0,14160.0,133192443
13450.0,14400.0,13410.0,13930.0,113223487
14800.0,14940.0,14510.0,14700.0,134395831
15000.0,15080.0,14400.0,14730.0,124908323
14480.0,14930.0,14410.0,14710.0,83491312
14800.0,14800.0,14070.0,14310.0,81726899
14600.0,14830.0,14160.0,14540.0,123994592
14900.0,15030.0,13810.0,14480.0,149532573
14400.0,14440.0,13810.0,14090.0,86509360
13900.0,13900.0,13150.0,13420.0,105861875
13450.0,13460.0,12860.0,13070.0,82558795
12760.0,12830.0,12110.0,12330.0,113375771
12560.0,12870.0,12170.0,12540.0,123829330
12750.0,12990.0,12370.0,12660.0,103369703
12520.0,12590.0,12300.0,12450.0,49298297
12380.0,12400.0,11740.0,12000.0,66351228
11680.0,12140.0,11610.0,11970.0,65175114
12300.0,12550.0,12250.0,12400.0,69315973
12670.0,12670.0,12200.0,12440.0,45703892
12420.0,12420.0,12040.0,12250.0,36459530
12450.0,12610.0,12310.0,12460.0,82606996
12300.0,12460.0,12200.0,12340.0,30946513
12300.0,12350.0,12110.0,12250.0,45903130
12500.0,13130.0,12470.0,12820.0,81651497
13610.0,14100.0,13610.0,14030.0,87362071
15000.0,15430.0,14600.0,15280.0,198902248
15240.0,16270.0,14900.0,15440.0,205854411
16980.0,16980.0,16980.0,16980.0,39914884
18670.0,18670.0,17650.0,18430.0,255246620
17920.0,19780.0,17500.0,18630.0,274007374
18900.0,19560.0,18260.0,19070.0,223038885
18000.0,18840.0,17170.0,17980.0,198117968
17320.0,17760.0,17020.0,17420.0,98631512
17730.0,18270.0,17320.0,17840.0,112216330
17350.0,17470.0,16830.0,17230.0,102824619
17470.0,18950.0,17390.0,18270.0,221603404
19050.0,19570.0,18060.0,18690.0,192705321
17640.0,18200.0,17610.0,17870.0,121475946
18130.0,18890.0,18130.0,18520.0,126865276
18500.0,19170.0,18220.0,18900.0,150994135
19400.0,20790.0,19380.0,20130.0,214112217
21300.0,22140.0,21300.0,21910.0,212067411
22200.0,22630.0,20900.0,21820.0,267399274
21900.0,22450.0,20750.0,21610.0,197819761
21300.0,22190.0,20600.0,21340.0,179638636
20570.0,21760.0,20550.0,21300.0,131014475
21790.0,22370.0,21350.0,21760.0,130747357
22300.0,22820.0,21830.0,22350.0,209514220
21500.0,22780.0,21110.0,22080.0,164987385
22650.0,23100.0,21620.0,22340.0,142734336
21570.0,22260.0,21450.0,22000.0,187847265
22110.0,24000.0,21970.0,23110.0,208263452
23000.0,23680.0,22870.0,23270.0,163648707
23500.0,23700.0,21640.0,22620.0,178648341
21850.0,22790.0,21830.0,22340.0,157691334
23340.0,24060.0,23210.0,23620.0,262808111
24280.0,24340.0,23330.0,23750.0,179121840
23350.0,24150.0,23140.0,23780.0,139977656
23860.0,24810.0,23850.0,24310.0,161523933
24190.0,24430.0,23630.0,24050.0,143345551
23880.0,24040.0,23350.0,23800.0,134245694
24200.0,25230.0,24200.0,24690.0,145628444
24500.0,25350.0,24210.0,24940.0,133262634
26500.0,27430.0,26400.0,27090.0,146368652
28000.0,29000.0,27620.0,28310.0,169521087
28800.0,28870.0,27550.0,28260.0,139189669
28290.0,29590.0,28260.0,29180.0,111020881
29550.0,29570.0,28240.0,28870.0,110117176
28800.0,29770.0,28800.0,29440.0,125691539
29780.0,29780.0,26500.0,27530.0,114234024
25900.0,26400.0,24780.0,25200.0,110943312
24600.0,26800.0,24600.0,25840.0,190383768
26510.0,26780.0,23550.0,24540.0,181893539
24190.0,24190.0,22090.0,22630.0,222005664
23930.0,24890.0,23700.0,24420.0,181615990
24940.0,25100.0,23640.0,24340.0,165587016
24000.0,24890.0,23750.0,24470.0,114261018
24910.0,24980.0,23300.0,23900.0,98691264
23530.0,24610.0,23270.0,24040.0,107658126
24650.0,24850.0,23980.0,24400.0,137452190
24400.0,24820.0,23980.0,24440.0,112190599
25000.0,25550.0,24270.0,24860.0,96161363
24400.0,24400.0,23200.0,23740.0,84209166
23380.0,23380.0,21880.0,22390.0,127737388
22930.0,22970.0,22420.0,22670.0,75495085
22620.0,22980.0,22380.0,22600.0,84865513
22300.0,22480.0,21460.0,21880.0,84046223
21700.0,22480.0,21390.0,22100.0,51748309
22520.0,22800.0,22270.0,22540.0,38261937
